cap,via
20157,Capuana Luigi (Via)
20137,Carabelli Rodolfo (Via)
20145,Carabinieri d'Italia (Largo)
20155,Caracciolo Francesco (Via)
20123,Caradosso (Via)
20158,Carafa (Via dei) 
20144,Caravaggio (Via del)
20125,Carbonari (Piazza)
20137,Carbonera Azzo (Via)
20157,Carbonia (Via)
20149,Carcano Filippo (Via)
20141,Carcano Giulio (Via)
20144,Carchidio Francesco (Via)
20124,Cardano Gerolamo (Via)
20147,Cardellino (Via del)
20123,Carducci Giosue' (Via)
20131,Caretta Annibale (Via)
20124,Caretto Aminto (Via)
20124,Carissimi Giacomo (Via)
20135,Carita' (Strada della)
20161,Carli Gian Rinaldo (Via)
20146,Carlini Francesco (Via)
20149,Carlo Magno (Piazzale)
20147,Carlone Carlo Antonio (Via privata)
20159,Carmagnola Francesco (Via)
20121,Carmine (Piazza del)
20121,Carmine (Via del)
20129,Carnaghi Davide (Via)
20158,Carnevali Antonio (Via)
20132,Carnia (Via)
20128,Carnovali Giovanni (Via)
20161,Caro Annibal (Via)
20128,Caroli Luigi (Via)
20137,Caroncini Alberto (Via)
20133,Caronti Filippo (Via)
20136,Caro Tito Lucrezio (Piazza)
20147,Carozzi Giuseppe (Via)
20133,Carpaccio (Via)
20151,Carpi Aldo (Via)
20131,Carpi Eugenio (Via)
20157,Carra' Carlo (Via)
20149,Carracci (Via dei)
20141,Carrara Francesco (Piazza)
20146,Carriera Rosalba (Via privata)
20123,Carrobbio (Largo del)
20123,Carroccio (Via del)
20138,Cartagine (Piazza)
20128,Carta Giovanni Battista (Via)
20124,Cartesio (Via)
20133,Caruso Enrico (Via)
20144,Casale (Via)
20125,Casanova Luigi (Via)
20161,Casarsa (Via)
20134,Casasco (Via)
20124,Casati Felice (Via)
20123,Casati Gabrio (Via)
20128,Cascia (Via) 
20152,Cascina Barocco (Via)
20151,Cascina Bellaria (Via)
20142,Cascina Bianca (Via)
20147,Cascina Corba (Via)
20132,Cascina Gobba (Cavalvavia)
20132,Cascina Gobba (Raccordo Cavalcavia)
20148,Cascina Mojetta (Via)
20156,Casella Gian Battista (Via)
20159,Casentino (Via)
20121,Case Rotte (Via)
20159,Caserta (Piazza)
20131,Casnedi Raffaele (Via)
20131,Casoretto (Via)
20134,Casoria (Via)
20143,Cassala (Viale)
20139,Cassano D'Adda (Via)
20139,Cassinis Gino (Via)
20139,Cassinis Giovanni Battista (Via)
20148,Cassino (Via)
20145,Cassiodoro (Viale)
20152,Cassolnovo (Via)
20122,Cassolo (Via)
20141,Cassoni Attilio (Via)
20124,Castaldi Panfilo (Via)
20132,Castano (Via)
20136,Castelbarco Gian Carlo (Via)
20121,Castelfidardo (Via)
